pruning,15-puzzle_h2,15-puzzle_h2,15-puzzle_h0,15-puzzle_h0,15-puzzle_h1,15-puzzle_h1
algorithm,bfs,iddfs,bfs,iddfs,bfs,iddfs
count,100.0,100.0,100.0,100.0,100.0,100.0
mean,14953811.59,15055077.12,14467318.74,14760029.33,14378224.5,14773655.08
std,2203378.93,2206418.38,1995031.16,2096870.51,2021428.62,2174525.32
min,12673995.0,12967431.0,12165214.0,12044372.0,10620269.0,11430325.0
25%,13181895.0,13445949.25,13019899.5,13311440.5,12893186.75,13142755.75
50%,13951517.5,13993145.0,13593027.5,13857533.0,13468695.5,13818935.0
75%,17291453.25,17554990.25,16767263.5,14952203.0,16513372.5,17111716.5
max,18863244.0,19273224.0,18762174.0,19182466.0,18605864.0,19165972.0
