pruning,algorithm,info,hanoi4p14d.d=5,hanoi4p14d.d=10,hanoi4p14d.d=15,hanoi4p14d.d=2E+3,hanoi4p14d.d=E6
hanoi4-14h1,bfs,f,1,1,1,0,0
hanoi4-14h1,iddfs,f,1,1,1,0,0
hanoi4-14h1,astar,f,1,1,1,1,0
hanoi4-14h1,idastar,f,1,1,1,1,0
hanoi4-14h0,bfs,f,1,1,1,0,0
hanoi4-14h0,iddfs,f,1,1,1,0,0
hanoi4-14h0,astar,f,1,1,1,1,0
hanoi4-14h0,idastar,f,1,1,1,1,0
hanoi4-14h1,bfs,g,4945,E6,E5,E7,E7
hanoi4-14h1,iddfs,g,5965,E6,E5,E7,E7
hanoi4-14h1,astar,g,34,69,57,261,E6
hanoi4-14h1,idastar,g,14,30,27,96,E7
hanoi4-14h0,bfs,g,4945,E6,E5,E7,E7
hanoi4-14h0,iddfs,g,5965,E6,E5,E7,E7
hanoi4-14h0,astar,g,34,69,57,261,E6
hanoi4-14h0,idastar,g,14,30,27,96,E7
hanoi4-14h1,bfs,e,848,E5,E5,E6,E6
hanoi4-14h1,iddfs,e,1024,E5,E5,E6,E7
hanoi4-14h1,astar,e,6,12,10,44,E6
hanoi4-14h1,idastar,e,4,7,7,21,E6
hanoi4-14h0,bfs,e,848,E5,E5,E6,E6
hanoi4-14h0,iddfs,e,1024,E5,E5,E6,E6
hanoi4-14h0,astar,e,6,12,10,44,E6
hanoi4-14h0,idastar,e,4,7,7,21,E6
hanoi4-14h1,bfs,d,5,8,8,10,10
hanoi4-14h1,iddfs,d,5,8,8,10,10
hanoi4-14h1,astar,d,4,7,7,21,53
hanoi4-14h1,idastar,d,4,7,7,21,28
hanoi4-14h0,bfs,d,5,8,8,10,10
hanoi4-14h0,iddfs,d,5,8,8,10,10
hanoi4-14h0,astar,d,4,7,7,21,52
hanoi4-14h0,idastar,d,4,7,7,21,28
hanoi4-14h1,bfs,t,1,1.02,1.01,15.16,15.64
hanoi4-14h1,iddfs,t,1,1.02,1.01,14.42,17.16
hanoi4-14h1,astar,t,1.01,1,1,1,33.56
hanoi4-14h1,idastar,t,1,1,1.01,1,53.5
hanoi4-14h0,bfs,t,1,1.02,1.01,15.4,14.13
hanoi4-14h0,iddfs,t,1,1.02,1.01,14.36,14.29
hanoi4-14h0,astar,t,1.01,1,1,1,33.76
hanoi4-14h0,idastar,t,1.01,1.01,1,1,58.19
