pruning,hanoi4-18_h2,hanoi4-18_h2,hanoi4-18_h0,hanoi4-18_h0,hanoi4-18_h1,hanoi4-18_h1
algorithm,bfs,iddfs,bfs,iddfs,bfs,iddfs
count,46.0,46.0,46.0,46.0,46.0,46.0
mean,5743303.91,5913074.17,5407564.2,5526339.07,5464957.11,5653625.87
std,6515773.68,6651555.5,6102132.15,6198690.39,6170375.0,6333891.31
min,1.0,1.0,1.0,1.0,1.0,1.0
25%,311.75,379.5,311.75,379.5,311.75,379.5
50%,78267.0,94188.0,78267.0,94188.0,78267.0,94188.0
75%,11815507.0,12128852.75,11499691.25,11220582.25,11048900.5,12033507.0
max,15874723.0,16341188.0,15863341.0,15388116.0,15634189.0,16102924.0
