pruning,algorithm,info,.d=5,.d=15,.d=20,.d=40,.d=160
h0,bfs,f,1,0,0,0,0
h0,iddfs,f,1,0,0,0,0
h0,astar,f,0,0,0,0,0
h0,idastar,f,0,0,0,0,0
h1,bfs,f,1,0,0,0,0
h1,iddfs,f,1,0,0,0,0
h1,astar,f,0,0,0,0,0
h1,idastar,f,0,0,0,0,0
h0,bfs,g,E6,E7,E7,E7,E7
h0,iddfs,g,E6,E7,E7,E7,E7
h0,astar,g,E7,E7,E7,E7,E7
h0,idastar,g,E7,E7,E7,E7,E7
h1,bfs,g,E6,E7,E7,E7,E7
h1,iddfs,g,E6,E7,E7,E7,E7
h1,astar,g,E7,E7,E7,E7,E7
h1,idastar,g,E7,E7,E7,E7,E7
h0,bfs,e,E4,E6,E6,E6,E6
h0,iddfs,e,E4,E6,E6,E6,E6
h0,astar,e,E6,E6,E6,E6,E6
h0,idastar,e,E6,E6,E6,E6,E6
h1,bfs,e,E4,E6,E6,E6,E6
h1,iddfs,e,E4,E6,E6,E6,E6
h1,astar,e,E6,E6,E6,E6,E6
h1,idastar,e,E6,E6,E6,E6,E6
h0,bfs,d,5,7,7,7,7
h0,iddfs,d,5,7,7,7,7
h0,astar,d,12,13,12,13,12
h0,idastar,d,25,33,25,33,25
h1,bfs,d,5,7,7,7,7
h1,iddfs,d,5,7,7,7,7
h1,astar,d,12,13,12,13,12
h1,idastar,d,25,33,25,33,25
h0,bfs,t,1.01,15.77,14.42,14.4,15.08
h0,iddfs,t,1.01,16.11,14.82,14.7,14.91
h0,astar,t,125.65,130.31,123.95,127.18,131.3
h0,idastar,t,143.12,130.61,142.11,141.59,131.99
h1,bfs,t,1.02,14.28,15.2,14.61,15.01
h1,iddfs,t,1.01,14.72,14.82,14.32,15.67
h1,astar,t,125.02,129.97,122.63,122.71,132.86
h1,idastar,t,131.19,140.78,131.82,130.17,131.53
