pruning,algorithm,info,.d=5,.d=10,.d=15,.d=2E+3,.d=E6
h1,bfs,f,1,0.1,0,0,0
h1,iddfs,f,1,0.1,0,0,0
h1,astar,f,1,1,1,1,1
h1,idastar,f,1,0.9,0.6,0.3,0.7
h0,bfs,f,1,0.1,0,0,0
h0,iddfs,f,1,0.1,0,0,0
h0,astar,f,1,1,1,1,1
h0,idastar,f,1,0.9,0.6,0.3,0.7
h1,bfs,g,E6,E7,E8,E8,E8
h1,iddfs,g,E6,E8,E8,E8,E8
h1,astar,g,665,E5,E6,E6,E5
h1,idastar,g,932.3,E7,E7,E7,E7
h0,bfs,g,E6,E7,E8,E8,E8
h0,iddfs,g,E6,E8,E8,E8,E8
h0,astar,g,665,E5,E6,E6,E5
h0,idastar,g,932.3,E7,E7,E7,E7
h1,bfs,e,E5,E6,E6,E6,E6
h1,iddfs,e,E5,E6,E6,E6,E6
h1,astar,e,47.5,9071.3,E4,E5,E4
h1,idastar,e,68.4,E6,E6,E6,E6
h0,bfs,e,E5,E6,E6,E6,E6
h0,iddfs,e,E5,E6,E6,E6,E6
h0,astar,e,47.5,9071.3,E4,E5,E4
h0,idastar,e,68.4,E6,E6,E6,E6
h1,bfs,d,6,7,7,7,7
h1,iddfs,d,6,7,7,7,7
h1,astar,d,5.6,9.9,12.1,13.2,11.9
h1,idastar,d,5.9,9.9,11.8,12.6,11.9
h0,bfs,d,6,7,7,7,7
h0,iddfs,d,6,7,7,7,7
h0,astar,d,5.6,9.9,12.1,13.2,11.9
h0,idastar,d,5.9,9.9,11.8,12.6,11.9
h1,bfs,t,1.12,15.84,17.63,17.44,17.33
h1,iddfs,t,1.12,16.81,18.47,18.43,18.43
h1,astar,t,1.01,1.01,2.42,8.75,2.02
h1,idastar,t,1.01,9.44,39.97,55.27,24.52
h0,bfs,t,1.13,16.37,17.67,17.9,17.61
h0,iddfs,t,1.12,16.95,18.42,18.49,18.54
h0,astar,t,1.01,1.01,2.62,8.45,2.02
h0,idastar,t,1.01,9.41,40.11,55.08,24.6
